Subject.ID,Degree.Dat,Offspring.Acc,Mass,Mother.Acc,Father.Acc,Mother.ID,Father.ID,Challenge.Temp,MO2.NMS,MO2.MS,Family,Parent.Group
1,15,1,2.2,2,2,2,2,15,0.8296368,377.1076,6,4
1,15,1,2.2,2,2,2,2,16,0.69583392,316.2881,6,4
1,15,1,2.2,2,2,2,2,17,0.6144912,279.3142,6,4
1,15,1,2.2,2,2,2,2,18,0.67019328,304.6333,6,4
1,15,1,2.2,2,2,2,2,19,0.72545328,329.7515,6,4
1,15,1,2.2,2,2,2,2,20,0.61935408,281.5246,6,4
1,15,1,2.2,2,2,2,2,21,0.57779856,262.6357,6,4
1,15,1,2.2,2,2,2,2,22,0.70467552,320.3071,6,4
1,15,1,2.2,2,2,2,2,23,0.64190016,291.7728,6,4
1,15,1,2.2,2,2,2,2,24,0.68168736,309.8579,6,4
1,15,1,2.2,2,2,2,2,25,0.58089312,264.0423,6,4
1,15,1,2.2,2,2,2,2,26,0.73429488,333.7704,6,4
1,15,1,2.2,2,2,2,2,27,1.064676,483.9436,6,4
1,15,1,2.2,2,2,2,2,28,,,6,4
2,15,1,2.73,2,2,2,2,15,0.514561068,188.4839,6,4
2,15,1,2.73,2,2,2,2,16,0.512360208,187.6777,6,4
2,15,1,2.73,2,2,2,2,17,,,6,4
2,15,1,2.73,2,2,2,2,18,,,6,4
2,15,1,2.73,2,2,2,2,19,,,6,4
2,15,1,2.73,2,2,2,2,20,0.557697924,204.285,6,4
2,15,1,2.73,2,2,2,2,21,,,6,4
2,15,1,2.73,2,2,2,2,22,0.73875534,270.6064,6,4
2,15,1,2.73,2,2,2,2,23,0.82238802,301.241,6,4
2,15,1,2.73,2,2,2,2,24,,,6,4
2,15,1,2.73,2,2,2,2,25,0.729365004,267.1667,6,4
2,15,1,2.73,2,2,2,2,26,0.86126988,315.4835,6,4
2,15,1,2.73,2,2,2,2,27,1.17159114,429.1543,6,4
2,15,1,2.73,2,2,2,2,28,,,6,4
3,15,1,2.07,2,2,1,2,15,0.627533064,303.1561,5,4
3,15,1,2.07,2,2,1,2,16,0.540351108,261.0392,5,4
3,15,1,2.07,2,2,1,2,17,0.479279484,231.536,5,4
3,15,1,2.07,2,2,1,2,18,0.578115204,279.2827,5,4
3,15,1,2.07,2,2,1,2,19,0.4167327,201.3201,5,4
