Offspring.Acc,Mother.Acc,Father.Acc,Mother.ID,Father.ID,Mass,RMR,MMR,AAS,CTM,RMR.MS,MMR.MS,AAS.MS,Parent.group,Tank,Tank.Box,Family
1,2,2,2,2,2.2,0.8296368,1.064676,0.48687744,28.8,377.1076,483.9436,221.3079,4,3,3B,6
1,2,2,2,2,2.73,0.514561068,1.17159114,0.659230932,28.9,188.4839,429.1543,241.4766,4,3,3B,6
1,2,2,1,2,2.07,0.627533064,1.01638524,0.61993599,28.6,303.1561,491.0074,299.486,4,3,3B,5
1,2,2,2,2,1.96,0.82092288,1.08447456,0.26355168,28.9,418.8382,553.3033,134.4651,4,3,3B,6
1,2,2,1,2,1.48,0.627432192,0.79003392,0.3872352,28.9,423.9407,533.8067,261.6454,4,3,3B,5
1,2,2,2,2,2.73,1.0307361,1.0307361,0.627171738,28.9,377.559,377.559,229.7332,4,3,3B,6
1,2,2,2,2,2.87,0.58915512,0.92476836,,28.9,205.2805,322.2189,,4,3,3B,6
1,2,2,1,1,2.86,,0.87134676,,28.9,,304.6667,,4,2,2A,1
1,2,2,1,1,2.37,0.85939104,1.26112692,0.809063688,28.9,362.6122,532.1211,341.3771,4,2,2A,1
1,2,2,2,1,2.95,1.0955208,1.552476,,28.6,371.363,526.2631,,4,2,2A,2
1,2,2,2,1,1.72,0.475762176,0.5880456,0.303342768,28.6,276.6059,341.887,176.3621,4,2,2A,2
1,2,2,2,1,2.66,0.81551844,1.28016576,0.8111142,29,306.5859,481.2653,304.9301,4,2,2A,2
1,2,2,1,1,1.92,0.253520184,0.89873016,0.645209976,29,132.0418,468.0886,336.0468,4,2,2A,1
1,2,2,1,1,1.62,,0.54854748,0.320985408,27.7,,338.6096,198.1392,4,2,2A,1
1,2,2,1,1,2.33,0.596617812,1.12316652,0.576450864,28,256.0591,482.0457,247.4038,4,2,2A,1
1,2,2,1,1,1.64,0.622622592,0.622622592,0.360161856,28.3,379.6479,379.6479,219.6109,4,2,2A,1
1,2,2,2,1,3.61,0.92644848,1.7079573,1.025794056,28.8,256.6339,473.1184,284.1535,4,2,2A,2
1,2,2,2,1,2.73,0.61403994,1.10116362,0.83412594,28.8,224.923,403.3566,305.5406,4,2,2A,2
