"Reponse.Type","Response","Delta.AIC","Marginal.R2","Conditional.R2","Equation"
"Mass-Specific","log(RMR.MS)",0,0.0968934062157532,0.232585376795163,"Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass-Specific","log(RMR.MS)",0.432010279593783,0.053173310457289,0.240437709854849,"Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass-Specific","log(RMR.MS)",1.2633110942146,0.119499834856959,0.229420583149856,"Father.Acc + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass-Specific","log(RMR.MS)",1.61974760979541,0.0765276514724677,0.2333210095758,"Father.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass-Specific","log(RMR.MS)",2.15925051738162,0.0968838299106447,0.232579538637472,"Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Mother.Acc:Offspring.Acc"
"Mass-Specific","log(RMR.MS)",3.41588102945238,0.119488585551513,0.228524187123281,"Father.Acc + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Mother.Acc"
"Mass-Specific","log(RMR.MS)",3.43391634991525,0.119662682431506,0.230781821416221,"Father.Acc + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Offspring.Acc"
"Mass-Specific","log(RMR.MS)",3.4465742304161,0.119498539414764,0.229415547469582,"Father.Acc + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Mother.Acc:Offspring.Acc"
"Mass-Specific","log(RMR.MS)",3.76259952435689,0.0766396653823993,0.234918265533014,"Father.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Offspring.Acc"
"Mass-Specific","log(MMR.MS)",0,0.120819398282183,0.142015628435779,"Father.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass-Specific","log(MMR.MS)",1.13378698077366,0.124820633645683,0.147076068552633,"Father.Acc + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
