"Reponse.Type","Response","Delta.AIC","Marginal.R2","Conditional.R2","Equation"
"Mass Independant","log(RMR)",0,0.133987743438226,0.187352333272654,"log(Mass) + Mother.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(RMR)",1.26022685591482,0.141775993083952,0.205368695058934,"log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(RMR)",1.60737231629145,0.150429123636762,0.2176493738536,"log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Mother.Acc:Offspring.Acc"
"Mass Independant","log(RMR)",1.64740764674588,0.128699898006777,0.173129295049749,"Father.Acc + log(Mass) + Mother.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(RMR)",2.7321076933321,0.132748622721504,0.170710237731271,"Father.Acc + log(Mass) + Mother.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Mother.Acc"
"Mass Independant","log(RMR)",2.88787908239991,0.135788496499012,0.190075479527359,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(RMR)",3.27436426934858,0.144635700299502,0.202898529382188,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Mother.Acc:Offspring.Acc"
"Mass Independant","log(RMR)",4.05860864232395,0.139901754599572,0.18797669290316,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Mother.Acc"
"Mass Independant","log(RMR)",4.09509139394086,0.0998887343933515,0.216120604501808,"log(Mass) + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(RMR)",4.56403311667941,0.148067686955928,0.200173808225758,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Mother.Acc + Mother.Acc:Offspring.Acc"
"Mass Independant","log(RMR)",4.84880049999504,0.139275496838451,0.198131863046265,"Father.Acc + log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID) + Father.Acc:Offspring.Acc"
"Mass Independant","log(MMR)",0,0.510738852537013,0.524144297867189,"log(Mass) + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(MMR)",1.15197703264732,0.502590579834404,0.512328818471549,"Father.Acc + log(Mass) + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","log(MMR)",1.65714851888885,0.51244417821508,0.52665943621359,"log(Mass) + Mother.Acc + Offspring.Acc + (1 | Mother.ID) + (1 | Father.ID)"
"Mass Independant","CTM",0,0.468351559330228,0.508793016548749,"Offspring.Acc"
