"Term","Estimate","Method","DF","Test_Statistic","p","p < alpha"
"(Intercept)",-0.844786431166953,"Satterthwaite",19.0453141268788,-7.48307472907906,4.38790609406996e-07,"*"
"(Intercept)",-0.844786431166953,"Kenward-Roger",19.3434014766606,-7.48307472907906,3.97784028925545e-07,"*"
"(Intercept)",-0.844786431166953,"n-1",228,-7.48307472907906,1.56532143217796e-12,"*"
"(Intercept)",-0.788426598682683,"z-value",NA,-6.85508111123842,7.12720683006147e-12,"*"
"bSpline",1.1932080381092,"Satterthwaite",2338.65930314726,13.0266863355983,1.68493939100929e-37,"*"
"bSpline",1.1932080381092,"Kenward-Roger",2338.09906006193,13.0266863355983,1.68608506888276e-37,"*"
"bSpline",1.1932080381092,"n-1",228,13.0266863355983,2.29534918567454e-29,"*"
"bSpline",1.12275350758,"z-value",NA,10.2828894354067,8.41658004028599e-25,"*"
"bSpline:Father.Acc2",-0.359365392570648,"Satterthwaite",2338.81305556579,-2.69965172510004,0.00699118468159827,"*"
"bSpline:Father.Acc2",-0.359365392570648,"Kenward-Roger",2338.2514704939,-2.69965172510004,0.00699119670353872,"*"
"bSpline:Father.Acc2",-0.359365392570648,"n-1",228,-2.69965172510004,0.00746143181245513,"*"
"bSpline:Father.Acc2",-0.287265642862463,"z-value",NA,-1.82191724036744,0.0684675439587523,""
"bSpline:Father.Acc2:Mother.Acc2",0.169183759178122,"Satterthwaite",2338.46721590359,0.939010394907115,0.347822383974105,""
"bSpline:Father.Acc2:Mother.Acc2",0.169183759178122,"Kenward-Roger",2337.90307235476,0.939010394907115,0.347822407372481,""
"bSpline:Father.Acc2:Mother.Acc2",0.169183759178122,"n-1",228,0.939010394907115,0.348719099566885,""
"bSpline:Father.Acc2:Mother.Acc2",0.0405413987556511,"z-value",NA,0.191832973477557,0.847873041511847,""
"bSpline:Mother.Acc2",-0.173797698525345,"Satterthwaite",2337.24613260969,-1.43102875503344,0.152555661498476,""
"bSpline:Mother.Acc2",-0.173797698525345,"Kenward-Roger",2336.68038852242,-1.43102875503344,0.152555693862927,""
"bSpline:Mother.Acc2",-0.173797698525345,"n-1",228,-1.43102875503344,0.153791162663889,""
"bSpline:Mother.Acc2",-0.0103605553480908,"z-value",NA,-0.0722843247214551,0.942375639121622,""
"bSpline:Offspring.Acc2",-0.00288336347718194,"Satterthwaite",2340.43280712109,-0.0232828955283342,0.981426600200778,""
"bSpline:Offspring.Acc2",-0.00288336347718194,"Kenward-Roger",2339.87781526327,-0.0232828955283342,0.981426600671523,""
"bSpline:Offspring.Acc2",-0.00288336347718194,"n-1",228,-0.0232828955283342,0.981444979276936,""
"bSpline:Offspring.Acc2",0.0345248177065513,"z-value",NA,0.235450732528835,0.81385891373933,""
